country,code,continent,population,population_density,median_age,gdp_per_capita
South Africa,ZAF,Africa,62378377.0,51.42106246948242,27.91900062561035,13478.75390625
South Korea,KOR,Asia,51782473.0,530.55810546875,43.944000244140625,45560.125
South Sudan,SSD,Africa,11021133.0,17.440433502197266,17.59000015258789,
Spain,ESP,Europe,47828339.0,95.7077407836914,44.391998291015625,40223.01171875
Sri Lanka,LKA,Asia,22834913.0,369.1385803222656,32.56100082397461,12200.1376953125
Sudan,SDN,Africa,49383296.0,26.43645477294922,18.1200008392334,3570.607421875
Suriname,SUR,South America,623128.0,3.994410276412964,27.864999771118164,15047.6142578125
Sweden,SWE,Europe,10487289.0,25.74935531616211,39.72800064086914,55359.34375
Switzerland,CHE,Europe,8792128.0,222.53126525878903,41.96099853515625,72278.2109375
Syria,SYR,Asia,22462118.0,122.32270050048828,21.58799934387207,
Taiwan,TWN,Asia,23420051.0,661.3965454101562,42.91699981689453,
Tajikistan,TJK,Asia,10182185.0,73.36396789550781,21.742000579833984,4137.27783203125
Tanzania,TZA,Africa,64711777.0,73.05461120605469,17.124000549316406,2623.861572265625
Thailand,THA,Asia,71735273.0,140.41236877441406,39.194000244140625,17507.62109375
Togo,TGO,Africa,9089693.0,167.12066650390625,18.700000762939453,2202.726806640625
Tokelau,TKL,Oceania,2280.0,228.0,26.55500030517578,
Tonga,TON,Oceania,105012.0,145.85000610351562,20.72599983215332,6142.96337890625
Trinidad and Tobago,TTO,North America,1495868.0,291.5921936035156,36.22600173950195,23295.546875
Tunisia,TUN,Africa,12119284.0,78.00775146484375,31.743999481201172,10569.05078125
Turkey,TUR,Asia,87058421.0,113.11724090576172,32.071998596191406,33149.5
Turkmenistan,TKM,Asia,7230147.0,15.38558292388916,25.930999755859375,14740.009765625
Turks and Caicos Islands,TCA,North America,45824.0,48.23579025268555,37.86600112915039,20718.388671875
Tuvalu,TUV,Oceania,9968.0,332.26666259765625,24.256000518798828,4591.33056640625
Uganda,UGA,Africa,47312665.0,235.94985961914065,16.33799934387207,2280.07373046875
Ukraine,UKR,Europe,41048717.0,70.84693908691406,41.45100021362305,10731.4404296875
United Arab Emirates,ARE,Asia,10242033.0,144.21336364746094,30.902999877929688,74917.671875
United Kingdom,GBR,Europe,68179267.0,281.81402587890625,39.50400161743164,47587.16796875
United States,USA,North America,341533996.0,37.336647033691406,37.720001220703125,64623.125
United States Virgin Islands,VIR,North America,86487.0,247.105712890625,44.57099914550781,
Uruguay,URY,South America,3390863.0,19.3741455078125,35.49599838256836,24426.66015625
Uzbekistan,UZB,Asia,34938911.0,79.2889404296875,26.836000442504883,8073.21044921875
Vanuatu,VUT,Oceania,313014.0,25.677932739257812,20.121000289916992,2785.90380859375
Vatican,VAT,Europe,501.0,1138.6363525390625,59.875,
Venezuela,VEN,South America,28212961.0,31.98567008972168,28.809999465942383,
Vietnam,VNM,Asia,99680606.0,318.0325012207031,31.937999725341797,11396.53125
Wallis and Futuna,WLF,Oceania,11451.0,81.79285430908203,36.5989990234375,
Western Sahara,ESH,Africa,568702.0,2.137977361679077,31.697999954223633,
Yemen,YEM,Asia,38222833.0,72.39584350585938,18.118000030517575,
Zambia,ZMB,Africa,20152890.0,27.10944366455078,17.288000106811523,3365.873779296875
Zimbabwe,ZWE,Africa,16069010.0,41.538089752197266,17.683000564575195,2207.95703125
